Japan, Death rates (period 1x1)     Last modified: 12-Mar-2014, MPv5 (May07)

   Year      Age       Female       Male         Total
   1947        0     0.086555     0.098453     0.092640 
   1947        1     0.033027     0.034286     0.033666 
   1947        2     0.016824     0.016752     0.016787 
   1947        3     0.011579     0.011679     0.011629 
   1947        4     0.006891     0.007325     0.007110 
   1947        5     0.004917     0.005203     0.005062 
   1947        6     0.003658     0.003914     0.003788 
   1947        7     0.002879     0.003332     0.003108 
   1947        8     0.002161     0.002430     0.002297 
   1947        9     0.002061     0.002265     0.002164 
   1947       10     0.001801     0.001971     0.001887 
   1947       11     0.001730     0.001771     0.001751 
   1947       12     0.001829     0.001712     0.001770 
   1947       13     0.001897     0.001810     0.001853 
   1947       14     0.002392     0.002065     0.002227 
   1947       15     0.003179     0.002685     0.002930 
   1947       16     0.003657     0.003223     0.003439 
   1947       17     0.004444     0.004198     0.004321 
   1947       18     0.005281     0.005473     0.005377 
   1947       19     0.006252     0.006767     0.006509 
   1947       20     0.007026     0.007639     0.007330 
   1947       21     0.007366     0.008391     0.007865 
   1947       22     0.007338     0.008782     0.008023 
   1947       23     0.007786     0.009213     0.008438 
   1947       24     0.007834     0.009150     0.008412 
   1947       25     0.007667     0.009114     0.008291 
   1947       26     0.007331     0.008863     0.007993 
   1947       27     0.007335     0.008810     0.007983 
   1947       28     0.007148     0.008218     0.007626 
   1947       29     0.007323     0.008493     0.007853 
   1947       30     0.007214     0.008067     0.007604 
   1947       31     0.007080     0.008073     0.007536 
   1947       32     0.007012     0.008454     0.007678 
   1947       33     0.007114     0.008498     0.007758 
   1947       34     0.006961     0.008290     0.007582 
   1947       35     0.006952     0.008418     0.007639 
   1947       36     0.007061     0.008423     0.007706 
   1947       37     0.007201     0.008795     0.007964 
   1947       38     0.007131     0.008763     0.007919 
   1947       39     0.007500     0.008790     0.008132 
   1947       40     0.007534     0.009326     0.008428 
   1947       41     0.007772     0.009277     0.008529 
   1947       42     0.008259     0.009674     0.008970 
   1947       43     0.007914     0.010222     0.009077 
   1947       44     0.008014     0.010787     0.009416 
   1947       45     0.008247     0.011062     0.009675 
   1947       46     0.008637     0.011618     0.010152 
   1947       47     0.009220     0.012537     0.010906 
   1947       48     0.009446     0.013078     0.011296 
   1947       49     0.010626     0.014402     0.012555 
   1947       50     0.011276     0.014581     0.012967 
   1947       51     0.011690     0.016226     0.014009 
   1947       52     0.012393     0.017479     0.014986 
   1947       53     0.013174     0.019176     0.016221 
   1947       54     0.013786     0.020374     0.017123 
   1947       55     0.014300     0.021325     0.017841 
   1947       56     0.015500     0.022898     0.019197 
   1947       57     0.016920     0.026354     0.021606 
   1947       58     0.018931     0.029378     0.024089 
   1947       59     0.019500     0.029790     0.024546 
   1947       60     0.023319     0.035664     0.029307 
   1947       61     0.024268     0.036873     0.030299 
   1947       62     0.026915     0.040949     0.033523 
   1947       63     0.029199     0.044438     0.036252 
   1947       64     0.031504     0.048690     0.039354 
   1947       65     0.033833     0.053447     0.042723 
   1947       66     0.037247     0.056998     0.046137 
   1947       67     0.039645     0.061981     0.049595 
   1947       68     0.044838     0.068013     0.055028 
   1947       69     0.048515     0.071894     0.058679 
   1947       70     0.055387     0.080766     0.066306 
   1947       71     0.060695     0.084064     0.070603 
   1947       72     0.063669     0.092419     0.075659 
   1947       73     0.072407     0.101228     0.084227 
   1947       74     0.077349     0.105562     0.088758 
   1947       75     0.086040     0.117570     0.098657 
   1947       76     0.092886     0.122548     0.104551 
   1947       77     0.105534     0.137295     0.117746 
   1947       78     0.118729     0.159741     0.134191 
   1947       79     0.132900     0.169658     0.146506 
   1947       80     0.143587     0.176566     0.155457 
   1947       81     0.154590     0.197310     0.169523 
   1947       82     0.171082     0.212534     0.185184 
   1947       83     0.199846     0.233765     0.211295 
   1947       84     0.192437     0.229506     0.204582 
   1947       85     0.214084     0.267004     0.230870 
   1947       86     0.236076     0.292058     0.253730 
   1947       87     0.252448     0.313029     0.270983 
   1947       88     0.275724     0.320943     0.289507 
   1947       89     0.310434     0.342484     0.320118 
   1947       90     0.340292     0.353786     0.344209 
   1947       91     0.345278     0.422678     0.366820 
   1947       92     0.385979     0.431805     0.398149 
   1947       93     0.416107     0.454621     0.426569 
   1947       94     0.411394     0.479488     0.430633 
   1947       95     0.463656     0.573657     0.494923 
   1947       96     0.473657     0.499410     0.480914 
   1947       97     0.512099     0.500236     0.508685 
   1947       98     0.682498     0.664403     0.676427 
   1947       99     0.463789     1.020938     0.672245 
   1947      100     0.434688     1.356118     0.720384 
   1947      101     0.667259     0.500000     0.632050 
   1947      102     0.461538     0.750000     0.552632 
   1947      103     0.585366     1.500000     0.734694 
   1947      104     1.090909     0.000000     0.857143 
   1947      105     1.384615     1.000000     1.200000 
   1947      106     0.857143     1.500000     1.200000 
   1947      107     0.000000     0.750000     0.428571 
   1947      108     0.000000            .     0.000000 
   1947      109     0.857143     0.000000     0.600000 
   1947      110+    0.800000     1.714286     1.090909 
   1948        0     0.059374     0.068812     0.064208 
   1948        1     0.019384     0.020136     0.019768 
   1948        2     0.009531     0.009616     0.009575 
   1948        3     0.006748     0.007056     0.006904 
   1948        4     0.004999     0.005214     0.005108 
   1948        5     0.003182     0.003523     0.003355 
   1948        6     0.002540     0.002909     0.002727 
   1948        7     0.002106     0.002487     0.002299 
   1948        8     0.001794     0.002083     0.001940 
   1948        9     0.001490     0.001715     0.001604 
   1948       10     0.001487     0.001732     0.001611 
   1948       11     0.001410     0.001420     0.001415 
   1948       12     0.001472     0.001461     0.001466 
   1948       13     0.001687     0.001446     0.001565 
   1948       14     0.001873     0.001665     0.001768 
   1948       15     0.002473     0.002053     0.002261 
   1948       16     0.002979     0.002637     0.002806 
   1948       17     0.003634     0.003399     0.003516 
   1948       18     0.004127     0.004243     0.004185 
   1948       19     0.005085     0.005398     0.005241 
   1948       20     0.005889     0.006315     0.006101 
   1948       21     0.006669     0.006970     0.006818 
   1948       22     0.006938     0.007428     0.007176 
   1948       23     0.007026     0.007987     0.007483 
   1948       24     0.007130     0.008217     0.007629 
   1948       25     0.006982     0.008130     0.007488 
   1948       26     0.006823     0.007769     0.007232 
   1948       27     0.006723     0.007923     0.007243 
   1948       28     0.006666     0.007641     0.007095 
   1948       29     0.006300     0.007546     0.006858 
   1948       30     0.006323     0.007192     0.006717 
   1948       31     0.006123     0.007211     0.006620 
   1948       32     0.006236     0.007190     0.006675 
   1948       33     0.006103     0.007323     0.006668 
   1948       34     0.006191     0.007256     0.006688 
   1948       35     0.005988     0.007087     0.006502 
   1948       36     0.006474     0.007505     0.006958 
   1948       37     0.006360     0.007346     0.006827 
   1948       38     0.006444     0.007567     0.006983 
   1948       39     0.006806     0.007739     0.007257 
   1948       40     0.007021     0.007915     0.007459 
   1948       41     0.006994     0.008406     0.007697 
   1948       42     0.006901     0.008370     0.007639 
   1948       43     0.007085     0.008815     0.007953 
   1948       44     0.007415     0.009249     0.008339 
   1948       45     0.007610     0.009770     0.008700 
   1948       46     0.007994     0.010019     0.009020 
   1948       47     0.008180     0.010441     0.009327 
   1948       48     0.008806     0.011373     0.010109 
   1948       49     0.009082     0.012150     0.010643 
   1948       50     0.010081     0.013622     0.011886 
   1948       51     0.010285     0.013550     0.011950 
   1948       52     0.011719     0.015241     0.013512 
   1948       53     0.011826     0.016417     0.014158 
   1948       54     0.012634     0.017739     0.015219 
   1948       55     0.013064     0.018987     0.016054 
   1948       56     0.014431     0.019781     0.017117 
   1948       57     0.015319     0.021648     0.018467 
   1948       58     0.017504     0.025002     0.021207 
   1948       59     0.017497     0.026887     0.022110 
   1948       60     0.018945     0.028119     0.023422 
   1948       61     0.021299     0.031829     0.026370 
   1948       62     0.022505     0.034035     0.027979 
   1948       63     0.025410     0.037387     0.031007 
   1948       64     0.027727     0.040667     0.033672 
   1948       65     0.029817     0.043770     0.036137 
   1948       66     0.032685     0.046459     0.038881 
   1948       67     0.036333     0.051961     0.043311 
   1948       68     0.037813     0.055677     0.045694 
   1948       69     0.043146     0.061263     0.051029 
   1948       70     0.045405     0.063334     0.053110 
   1948       71     0.052296     0.070748     0.060133 
   1948       72     0.055999     0.076860     0.064731 
   1948       73     0.061116     0.080615     0.069144 
   1948       74     0.066970     0.090709     0.076569 
   1948       75     0.072357     0.092382     0.080339 
   1948       76     0.078739     0.099162     0.086790 
   1948       77     0.085595     0.109582     0.094890 
   1948       78     0.095723     0.122162     0.105677 
   1948       79     0.107869     0.132805     0.117044 
   1948       80     0.117950     0.146603     0.128319 
   1948       81     0.126323     0.156828     0.137066 
   1948       82     0.137821     0.165668     0.147318 
   1948       83     0.152886     0.184770     0.163506 
   1948       84     0.175407     0.195779     0.182146 
   1948       85     0.175310     0.204472     0.184655 
   1948       86     0.199502     0.240337     0.212057 
   1948       87     0.208349     0.242034     0.218598 
   1948       88     0.233264     0.251709     0.238762 
   1948       89     0.262542     0.302659     0.274463 
   1948       90     0.265869     0.302893     0.276747 
   1948       91     0.273969     0.328764     0.289484 
   1948       92     0.313100     0.334463     0.318751 
   1948       93     0.315891     0.333061     0.320360 
   1948       94     0.347648     0.336509     0.344695 
   1948       95     0.418414     0.354943     0.400431 
   1948       96     0.347763     0.440931     0.372740 
   1948       97     0.491961     0.238635     0.421090 
   1948       98     0.356511     0.384057     0.364652 
   1948       99     0.492446     0.541723     0.507010 
   1948      100     0.440000     0.483871     0.452830 
   1948      101     0.216867     0.444444     0.272727 
   1948      102     0.327273     0.000000     0.246575 
   1948      103     0.562500     0.545455     0.558140 
   1948      104     0.000000     6.000000     0.315789 
   1948      105     0.600000     0.000000     0.461538 
   1948      106     0.000000     6.000000     0.857143 
   1948      107     1.200000     1.200000     1.200000 
   1948      108     0.000000     0.000000     0.000000 
   1948      109     0.000000            .     0.000000 
   1948      110+    0.580645     0.000000     0.486486 
   1949        0     0.061209     0.069459     0.065427 
   1949        1     0.018519     0.018499     0.018508 
   1949        2     0.011296     0.011655     0.011479 
   1949        3     0.006528     0.006931     0.006733 
   1949        4     0.004769     0.004937     0.004854 
   1949        5     0.003491     0.003763     0.003629 
   1949        6     0.002451     0.002736     0.002595 
   1949        7     0.001900     0.002173     0.002038 
   1949        8     0.001609     0.001752     0.001682 
   1949        9     0.001353     0.001516     0.001435 
   1949       10     0.001239     0.001315     0.001277 
   1949       11     0.001297     0.001300     0.001299 
   1949       12     0.001292     0.001230     0.001261 
   1949       13     0.001359     0.001318     0.001339 
   1949       14     0.001613     0.001385     0.001498 
   1949       15     0.001986     0.001663     0.001823 
   1949       16     0.002588     0.002230     0.002407 
   1949       17     0.003103     0.002875     0.002988 
   1949       18     0.003644     0.003551     0.003597 
   1949       19     0.004163     0.004376     0.004270 
   1949       20     0.004745     0.005319     0.005031 
   1949       21     0.005427     0.005730     0.005578 
   1949       22     0.005939     0.006564     0.006248 
   1949       23     0.006064     0.006831     0.006438 
   1949       24     0.006165     0.007157     0.006637 
   1949       25     0.006300     0.007131     0.006683 
   1949       26     0.006139     0.007008     0.006524 
   1949       27     0.006014     0.006852     0.006378 
   1949       28     0.006125     0.006703     0.006377 
   1949       29     0.005695     0.006883     0.006220 
   1949       30     0.005693     0.006350     0.005988 
   1949       31     0.005704     0.006467     0.006050 
   1949       32     0.005711     0.006278     0.005970 
   1949       33     0.005615     0.006473     0.006011 
   1949       34     0.005603     0.006510     0.006024 
   1949       35     0.005670     0.006674     0.006139 
   1949       36     0.005777     0.006615     0.006170 
   1949       37     0.005939     0.006813     0.006350 
   1949       38     0.005708     0.006939     0.006293 
   1949       39     0.006129     0.007152     0.006620 
   1949       40     0.006137     0.007235     0.006668 
   1949       41     0.006516     0.007664     0.007078 
   1949       42     0.006632     0.007932     0.007279 
   1949       43     0.006530     0.008239     0.007387 
   1949       44     0.006682     0.008618     0.007653 
   1949       45     0.007034     0.008888     0.007968 
   1949       46     0.007274     0.009476     0.008385 
   1949       47     0.007665     0.010375     0.009036 
   1949       48     0.008333     0.010541     0.009451 
   1949       49     0.008733     0.011644     0.010209 
   1949       50     0.009311     0.012080     0.010718 
   1949       51     0.009953     0.013620     0.011818 
   1949       52     0.010197     0.013662     0.011958 
   1949       53     0.011594     0.015324     0.013486 
   1949       54     0.011923     0.016612     0.014297 
   1949       55     0.012636     0.018135     0.015415 
   1949       56     0.013538     0.019258     0.016417 
   1949       57     0.014660     0.020705     0.017682 
   1949       58     0.016078     0.023372     0.019689 
   1949       59     0.016872     0.025599     0.021158 
   1949       60     0.019331     0.027302     0.023228 
   1949       61     0.019424     0.029296     0.024219 
   1949       62     0.023018     0.034039     0.028290 
   1949       63     0.024569     0.036529     0.030204 
   1949       64     0.027018     0.039445     0.032787 
   1949       65     0.028870     0.042339     0.035015 
   1949       66     0.032029     0.047281     0.038889 
   1949       67     0.034250     0.051687     0.042036 
   1949       68     0.038483     0.056560     0.046494 
   1949       69     0.041439     0.058700     0.048988 
   1949       70     0.045390     0.063922     0.053380 
   1949       71     0.048783     0.069324     0.057522 
   1949       72     0.056139     0.076482     0.064669 
   1949       73     0.062309     0.082074     0.070489 
   1949       74     0.065697     0.089245     0.075278 
   1949       75     0.072519     0.097851     0.082636 
   1949       76     0.079248     0.100422     0.087582 
   1949       77     0.086140     0.110955     0.095805 
   1949       78     0.092422     0.113895     0.100613 
   1949       79     0.105627     0.135096     0.116526 
   1949       80     0.116913     0.145452     0.127245 
   1949       81     0.129586     0.164055     0.141810 
   1949       82     0.143405     0.166543     0.151398 
   1949       83     0.152275     0.190052     0.164916 
   1949       84     0.169115     0.197796     0.178471 
   1949       85     0.192269     0.227772     0.203762 
   1949       86     0.198193     0.234777     0.209626 
   1949       87     0.218441     0.252539     0.228665 
   1949       88     0.239083     0.290059     0.254317 
   1949       89     0.269199     0.304225     0.279388 
   1949       90     0.260901     0.337498     0.282930 
   1949       91     0.294672     0.353235     0.311295 
   1949       92     0.339861     0.340487     0.340032 
   1949       93     0.351401     0.390043     0.361379 
   1949       94     0.354907     0.380140     0.361361 
   1949       95     0.377376     0.461166     0.400366 
   1949       96     0.366798     0.425936     0.382968 
   1949       97     0.444300     0.593358     0.483685 
   1949       98     0.508671     0.317139     0.450384 
   1949       99     0.403670     0.392157     0.400000 
   1949      100     0.512563     0.518519     0.514286 
   1949      101     0.568421     0.285714     0.481752 
   1949      102     0.470588     0.000000     0.333333 
   1949      103     0.315789     1.500000     0.600000 
   1949      104     0.521739     0.000000     0.413793 
   1949      105     0.000000            .     0.000000 
   1949      106     0.857143            .     0.857143 
   1949      107     0.000000            .     0.000000 
   1949      108     0.000000     3.000000     1.200000 
   1949      109     0.000000            .     0.000000 
   1949      110+    0.240000     0.000000     0.193548 
   1950        0     0.054308     0.061753     0.058110 
   1950        1     0.014632     0.014341     0.014484 
   1950        2     0.009833     0.010050     0.009944 
   1950        3     0.007447     0.007554     0.007502 
   1950        4     0.004307     0.004318     0.004313 
   1950        5     0.003215     0.003239     0.003227 
   1950        6     0.002279     0.002692     0.002488 
   1950        7     0.001717     0.002092     0.001907 
   1950        8     0.001475     0.001716     0.001597 
   1950        9     0.001292     0.001423     0.001359 
   1950       10     0.001144     0.001255     0.001200 
   1950       11     0.001109     0.001111     0.001110 
   1950       12     0.001172     0.001154     0.001163 
   1950       13     0.001190     0.001076     0.001132 
   1950       14     0.001424     0.001188     0.001305 
   1950       15     0.001650     0.001452     0.001550 
   1950       16     0.002089     0.001818     0.001952 
   1950       17     0.002470     0.002582     0.002527 
   1950       18     0.002996     0.003013     0.003005 
   1950       19     0.003386     0.003677     0.003532 
   1950       20     0.003595     0.004097     0.003846 
   1950       21     0.004238     0.004699     0.004468 
   1950       22     0.004597     0.004951     0.004773 
   1950       23     0.004929     0.005275     0.005100 
   1950       24     0.005039     0.005765     0.005392 
   1950       25     0.004952     0.005807     0.005360 
   1950       26     0.005221     0.005896     0.005533 
   1950       27     0.005097     0.005626     0.005332 
   1950       28     0.005256     0.005661     0.005433 
   1950       29     0.005009     0.005830     0.005368 
   1950       30     0.005061     0.005621     0.005309 
   1950       31     0.004825     0.005084     0.004942 
   1950       32     0.004924     0.005431     0.005154 
   1950       33     0.004960     0.005370     0.005147 
   1950       34     0.005080     0.005594     0.005318 
   1950       35     0.005145     0.005701     0.005404 
   1950       36     0.005216     0.005833     0.005505 
   1950       37     0.005133     0.005998     0.005539 
   1950       38     0.005406     0.006090     0.005728 
   1950       39     0.005675     0.006542     0.006088 
   1950       40     0.005759     0.006509     0.006120 
   1950       41     0.005868     0.006934     0.006384 
   1950       42     0.006242     0.007172     0.006698 
   1950       43     0.006145     0.007741     0.006938 
   1950       44     0.006271     0.007910     0.007091 
   1950       45     0.006974     0.008494     0.007735 
   1950       46     0.006980     0.008627     0.007809 
   1950       47     0.007355     0.009492     0.008432 
   1950       48     0.007972     0.010167     0.009081 
   1950       49     0.008359     0.011271     0.009832 
   1950       50     0.009064     0.011854     0.010478 
   1950       51     0.009473     0.012375     0.010947 
   1950       52     0.010709     0.014087     0.012424 
   1950       53     0.010630     0.014378     0.012530 
   1950       54     0.011976     0.016267     0.014144 
   1950       55     0.012079     0.017817     0.014974 
   1950       56     0.013458     0.019286     0.016395 
   1950       57     0.014897     0.020819     0.017869 
   1950       58     0.016036     0.023663     0.019833 
   1950       59     0.016323     0.024435     0.020318 
   1950       60     0.018386     0.027164     0.022674 
   1950       61     0.020376     0.029080     0.024613 
   1950       62     0.021018     0.031078     0.025879 
   1950       63     0.025779     0.035966     0.030619 
   1950       64     0.027150     0.039097     0.032738 
   1950       65     0.029192     0.043971     0.036003 
   1950       66     0.033023     0.047644     0.039644 
   1950       67     0.035821     0.051360     0.042750 
   1950       68     0.038845     0.056861     0.046824 
   1950       69     0.043937     0.062987     0.052308 
   1950       70     0.045685     0.066237     0.054586 
   1950       71     0.051913     0.074095     0.061383 
   1950       72     0.056484     0.080061     0.066387 
   1950       73     0.063045     0.087231     0.073058 
   1950       74     0.070531     0.094996     0.080524 
   1950       75     0.076439     0.101240     0.086392 
   1950       76     0.083863     0.110802     0.094475 
   1950       77     0.089040     0.120001     0.101051 
   1950       78     0.099761     0.127674     0.110460 
   1950       79     0.104615     0.137589     0.116983 
   1950       80     0.125413     0.156894     0.136764 
   1950       81     0.134893     0.170309     0.147459 
   1950       82     0.151835     0.189899     0.165039 
   1950       83     0.161756     0.205212     0.176416 
   1950       84     0.181045     0.211197     0.190926 
   1950       85     0.195930     0.236045     0.208698 
   1950       86     0.217224     0.273838     0.235062 
   1950       87     0.236228     0.264038     0.244642 
   1950       88     0.258665     0.292176     0.268488 
   1950       89     0.266575     0.345476     0.289257 
   1950       90     0.308781     0.356538     0.322176 
   1950       91     0.325179     0.382005     0.340822 
   1950       92     0.367898     0.439923     0.387946 
   1950       93     0.351328     0.390628     0.361568 
   1950       94     0.409828     0.526318     0.438718 
   1950       95     0.386290     0.457454     0.403538 
   1950       96     0.404613     0.603042     0.455358 
   1950       97     0.506819     0.441190     0.490081 
   1950       98     0.444182     0.670232     0.501365 
   1950       99     0.637874     0.557143     0.612245 
   1950      100     0.623762     0.428571     0.560000 
   1950      101     0.403361     0.491803     0.433333 
   1950      102     0.413793     0.571429     0.455696 
   1950      103     0.342857     0.000000     0.272727 
   1950      104     0.461538     0.857143     0.545455 
   1950      105     0.000000     1.500000     0.240000 
   1950      106     0.000000            .     0.000000 
   1950      107     0.000000            .     0.000000 
   1950      108     0.000000            .     0.000000 
   1950      109     0.000000            .     0.000000 
   1950      110+    0.666667     0.000000     0.500000 
   1951        0     0.052662     0.060202     0.056514 
   1951        1     0.012777     0.012874     0.012826 
   1951        2     0.009252     0.009321     0.009288 
   1951        3     0.006961     0.007171     0.007068 
   1951        4     0.004868     0.005036     0.004954 
   1951        5     0.002727     0.002833     0.002781 
   1951        6     0.002091     0.002191     0.002142 
   1951        7     0.001639     0.001853     0.001747 
   1951        8     0.001228     0.001491     0.001361 
   1951        9     0.001074     0.001250     0.001163 
   1951       10     0.000995     0.001133     0.001065 
   1951       11     0.000906     0.000965     0.000936 
   1951       12     0.000982     0.000930     0.000956 
   1951       13     0.001085     0.000996     0.001040 
   1951       14     0.001161     0.001060     0.001110 
   1951       15     0.001290     0.001274     0.001282 
   1951       16     0.001596     0.001585     0.001591 
   1951       17     0.001772     0.001924     0.001848 
   1951       18     0.002243     0.002343     0.002293 
   1951       19     0.002568     0.002948     0.002759 
   1951       20     0.002886     0.003099     0.002993 
   1951       21     0.002899     0.003385     0.003142 
   1951       22     0.003302     0.003777     0.003538 
   1951       23     0.003597     0.004003     0.003799 
   1951       24     0.003894     0.004247     0.004068 
   1951       25     0.003826     0.004226     0.004021 
   1951       26     0.003928     0.004447     0.004176 
   1951       27     0.004155     0.004349     0.004245 
   1951       28     0.004054     0.004299     0.004163 
   1951       29     0.004057     0.004579     0.004285 
   1951       30     0.004159     0.004543     0.004327 
   1951       31     0.004108     0.004331     0.004206 
   1951       32     0.004057     0.004221     0.004131 
   1951       33     0.004188     0.004409     0.004289 
   1951       34     0.004127     0.004348     0.004228 
   1951       35     0.004326     0.004555     0.004432 
   1951       36     0.004344     0.004756     0.004536 
   1951       37     0.004518     0.004967     0.004728 
   1951       38     0.004649     0.005049     0.004837 
   1951       39     0.004942     0.005507     0.005208 
   1951       40     0.005001     0.005547     0.005261 
   1951       41     0.005110     0.006085     0.005579 
   1951       42     0.005283     0.006371     0.005809 
   1951       43     0.005590     0.006569     0.006070 
   1951       44     0.005800     0.007470     0.006629 
   1951       45     0.005899     0.007428     0.006663 
   1951       46     0.006359     0.008196     0.007278 
   1951       47     0.006968     0.008980     0.007980 
   1951       48     0.007517     0.009561     0.008546 
   1951       49     0.008004     0.010093     0.009058 
   1951       50     0.008077     0.010872     0.009489 
   1951       51     0.008557     0.011691     0.010143 
   1951       52     0.009559     0.012486     0.011043 
   1951       53     0.010481     0.014073     0.012301 
   1951       54     0.010412     0.014885     0.012673 
   1951       55     0.011759     0.016781     0.014288 
   1951       56     0.012491     0.017923     0.015224 
   1951       57     0.014037     0.019633     0.016850 
   1951       58     0.015526     0.021980     0.018752 
   1951       59     0.015660     0.022541     0.019070 
   1951       60     0.017505     0.024821     0.021093 
   1951       61     0.018855     0.028612     0.023597 
   1951       62     0.020721     0.031086     0.025744 
   1951       63     0.022175     0.032857     0.027310 
   1951       64     0.026262     0.038424     0.032004 
   1951       65     0.027976     0.041732     0.034363 
   1951       66     0.030562     0.045391     0.037346 
   1951       67     0.034478     0.048959     0.040983 
   1951       68     0.037640     0.054643     0.045155 
   1951       69     0.041660     0.061145     0.050204 
   1951       70     0.046223     0.065170     0.054459 
   1951       71     0.050135     0.070094     0.058679 
   1951       72     0.055332     0.077179     0.064539 
   1951       73     0.059630     0.082202     0.068977 
   1951       74     0.066459     0.090890     0.076421 
   1951       75     0.077876     0.098717     0.086269 
   1951       76     0.081081     0.107220     0.091409 
   1951       77     0.086784     0.115762     0.098006 
   1951       78     0.095389     0.123284     0.106011 
   1951       79     0.105877     0.130372     0.115095 
   1951       80     0.116743     0.145543     0.127242 
   1951       81     0.127915     0.161712     0.139866 
   1951       82     0.141371     0.176473     0.153546 
   1951       83     0.163412     0.193252     0.173498 
   1951       84     0.178129     0.207220     0.187724 
   1951       85     0.184145     0.225946     0.197497 
   1951       86     0.210923     0.246107     0.221808 
   1951       87     0.226371     0.261913     0.237217 
   1951       88     0.234969     0.274978     0.246756 
   1951       89     0.249226     0.301694     0.264052 
   1951       90     0.266825     0.343290     0.287876 
   1951       91     0.315469     0.362702     0.328002 
   1951       92     0.344474     0.365628     0.350072 
   1951       93     0.358355     0.395021     0.368102 
   1951       94     0.419798     0.408489     0.417003 
   1951       95     0.400840     0.461051     0.414752 
   1951       96     0.402125     0.320388     0.383256 
   1951       97     0.439764     0.527132     0.461245 
   1951       98     0.644118     0.437768     0.591457 
   1951       99     0.715116     0.508475     0.662338 
   1951      100     0.376963     0.129032     0.295775 
   1951      101     0.344262     0.370370     0.354680 
   1951      102     0.394737     0.000000     0.267857 
   1951      103     0.315789     0.352941     0.327273 
   1951      104     0.521739     0.000000     0.461538 
   1951      105     0.000000     3.000000     0.230769 
   1951      106     0.705882            .     0.705882 
   1951      107     0.545455            .     0.545455 
   1951      108     3.000000            .     3.000000 
   1951      109     0.000000            .     0.000000 
   1951      110+    0.545455     1.500000     0.800000 
   1952        0     0.045785     0.052542     0.049238 
   1952        1     0.008943     0.008969     0.008956 
   1952        2     0.007439     0.007345     0.007391 
   1952        3     0.005552     0.005784     0.005670 
   1952        4     0.004030     0.003936     0.003982 
   1952        5     0.002681     0.003036     0.002863 
   1952        6     0.001603     0.001713     0.001659 
   1952        7     0.001293     0.001584     0.001441 
   1952        8     0.001065     0.001386     0.001227 
   1952        9     0.000891     0.001089     0.000991 
   1952       10     0.000858     0.001007     0.000933 
   1952       11     0.000802     0.000912     0.000858 
   1952       12     0.000816     0.000895     0.000856 
   1952       13     0.000824     0.000834     0.000829 
   1952       14     0.000965     0.000987     0.000976 
   1952       15     0.001003     0.001062     0.001033 
   1952       16     0.001256     0.001377     0.001317 
   1952       17     0.001457     0.001678     0.001569 
   1952       18     0.001728     0.002056     0.001893 
   1952       19     0.002062     0.002438     0.002251 
   1952       20     0.002276     0.002734     0.002506 
   1952       21     0.002490     0.002832     0.002662 
   1952       22     0.002558     0.002978     0.002768 
   1952       23     0.002930     0.003281     0.003105 
   1952       24     0.002937     0.003345     0.003140 
   1952       25     0.003090     0.003393     0.003239 
   1952       26     0.003157     0.003459     0.003304 
   1952       27     0.003134     0.003469     0.003295 
   1952       28     0.003291     0.003616     0.003442 
   1952       29     0.003235     0.003704     0.003444 
   1952       30     0.003471     0.003497     0.003483 
   1952       31     0.003433     0.003749     0.003571 
   1952       32     0.003488     0.003705     0.003584 
   1952       33     0.003450     0.003563     0.003501 
   1952       34     0.003635     0.003987     0.003795 
   1952       35     0.003699     0.003733     0.003714 
   1952       36     0.003806     0.004057     0.003922 
   1952       37     0.003966     0.004380     0.004159 
   1952       38     0.004021     0.004183     0.004097 
   1952       39     0.004170     0.004459     0.004306 
   1952       40     0.004487     0.005126     0.004788 
   1952       41     0.004680     0.005271     0.004961 
   1952       42     0.004684     0.005594     0.005121 
   1952       43     0.004899     0.006012     0.005438 
   1952       44     0.004959     0.006513     0.005720 
   1952       45     0.005492     0.006968     0.006224 
   1952       46     0.005688     0.007073     0.006379 
   1952       47     0.006110     0.008254     0.007182 
   1952       48     0.006646     0.008737     0.007697 
   1952       49     0.007169     0.009581     0.008382 
   1952       50     0.007760     0.010301     0.009041 
   1952       51     0.008404     0.011035     0.009731 
   1952       52     0.009084     0.011875     0.010495 
   1952       53     0.009438     0.013193     0.011339 
   1952       54     0.010751     0.014183     0.012486 
   1952       55     0.010742     0.015148     0.012963 
   1952       56     0.012058     0.016606     0.014342 
   1952       57     0.012721     0.018918     0.015831 
   1952       58     0.015049     0.021340     0.018201 
   1952       59     0.015479     0.023167     0.019308 
   1952       60     0.015989     0.024327     0.020106 
   1952       61     0.017540     0.025884     0.021617 
   1952       62     0.020031     0.028640     0.024197 
   1952       63     0.021856     0.033140     0.027299 
   1952       64     0.023583     0.034302     0.028708 
   1952       65     0.027720     0.040601     0.033763 
   1952       66     0.029608     0.042745     0.035665 
   1952       67     0.032019     0.048038     0.039290 
   1952       68     0.036268     0.053115     0.043771 
   1952       69     0.039438     0.058175     0.047633 
   1952       70     0.042956     0.062022     0.051228 
   1952       71     0.048872     0.069806     0.057866 
   1952       72     0.051086     0.071298     0.059635 
   1952       73     0.059236     0.080415     0.068052 
   1952       74     0.064104     0.086533     0.073266 
   1952       75     0.071273     0.096311     0.081342 
   1952       76     0.078040     0.103833     0.088272 
   1952       77     0.083395     0.108654     0.093216 
   1952       78     0.095877     0.121923     0.105788 
   1952       79     0.100900     0.129011     0.111422 
